Date,DateKey,Year,Quarter,MonthNumber,MonthName,DayOfMonth,DayOfWeekNumber,DayOfWeekName,IsWeekend,FiscalQuarter
2023-01-07,20230107,2023,Q1,1,January,7,6,Saturday,1,Q1
2023-01-08,20230108,2023,Q1,1,January,8,7,Sunday,1,Q1
2023-01-09,20230109,2023,Q1,1,January,9,1,Monday,0,Q1
2023-01-10,20230110,2023,Q1,1,January,10,2,Tuesday,0,Q1
2023-01-11,20230111,2023,Q1,1,January,11,3,Wednesday,0,Q1
2023-01-12,20230112,2023,Q1,1,January,12,4,Thursday,0,Q1
2023-01-13,20230113,2023,Q1,1,January,13,5,Friday,0,Q1
2023-01-14,20230114,2023,Q1,1,January,14,6,Saturday,1,Q1
2023-01-15,20230115,2023,Q1,1,January,15,7,Sunday,1,Q1
2023-01-16,20230116,2023,Q1,1,January,16,1,Monday,0,Q1
2023-01-17,20230117,2023,Q1,1,January,17,2,Tuesday,0,Q1
2023-01-18,20230118,2023,Q1,1,January,18,3,Wednesday,0,Q1
2023-01-19,20230119,2023,Q1,1,January,19,4,Thursday,0,Q1
2023-01-20,20230120,2023,Q1,1,January,20,5,Friday,0,Q1
2023-01-21,20230121,2023,Q1,1,January,21,6,Saturday,1,Q1
2023-01-22,20230122,2023,Q1,1,January,22,7,Sunday,1,Q1
2023-01-23,20230123,2023,Q1,1,January,23,1,Monday,0,Q1
2023-01-24,20230124,2023,Q1,1,January,24,2,Tuesday,0,Q1
2023-01-25,20230125,2023,Q1,1,January,25,3,Wednesday,0,Q1
2023-01-26,20230126,2023,Q1,1,January,26,4,Thursday,0,Q1
2023-01-27,20230127,2023,Q1,1,January,27,5,Friday,0,Q1
2023-01-28,20230128,2023,Q1,1,January,28,6,Saturday,1,Q1
2023-01-29,20230129,2023,Q1,1,January,29,7,Sunday,1,Q1
2023-01-30,20230130,2023,Q1,1,January,30,1,Monday,0,Q1
2023-01-31,20230131,2023,Q1,1,January,31,2,Tuesday,0,Q1
2023-02-01,20230201,2023,Q1,2,February,1,3,Wednesday,0,Q1
2023-02-02,20230202,2023,Q1,2,February,2,4,Thursday,0,Q1
2023-02-03,20230203,2023,Q1,2,February,3,5,Friday,0,Q1
2023-02-04,20230204,2023,Q1,2,February,4,6,Saturday,1,Q1
2023-02-05,20230205,2023,Q1,2,February,5,7,Sunday,1,Q1
2023-02-06,20230206,2023,Q1,2,February,6,1,Monday,0,Q1
2023-02-07,20230207,2023,Q1,2,February,7,2,Tuesday,0,Q1
2023-02-08,20230208,2023,Q1,2,February,8,3,Wednesday,0,Q1
2023-02-09,20230209,2023,Q1,2,February,9,4,Thursday,0,Q1
2023-02-10,20230210,2023,Q1,2,February,10,5,Friday,0,Q1
2023-02-11,20230211,2023,Q1,2,February,11,6,Saturday,1,Q1
2023-02-12,20230212,2023,Q1,2,February,12,7,Sunday,1,Q1
2023-02-13,20230213,2023,Q1,2,February,13,1,Monday,0,Q1
2023-02-14,20230214,2023,Q1,2,February,14,2,Tuesday,0,Q1
2023-02-15,20230215,2023,Q1,2,February,15,3,Wednesday,0,Q1
2023-02-16,20230216,2023,Q1,2,February,16,4,Thursday,0,Q1
2023-02-17,20230217,2023,Q1,2,February,17,5,Friday,0,Q1
2023-02-18,20230218,2023,Q1,2,February,18,6,Saturday,1,Q1
2023-02-19,20230219,2023,Q1,2,February,19,7,Sunday,1,Q1
2023-02-20,20230220,2023,Q1,2,February,20,1,Monday,0,Q1
2023-02-21,20230221,2023,Q1,2,February,21,2,Tuesday,0,Q1
2023-02-22,20230222,2023,Q1,2,February,22,3,Wednesday,0,Q1
2023-02-23,20230223,2023,Q1,2,February,23,4,Thursday,0,Q1
2023-02-24,20230224,2023,Q1,2,February,24,5,Friday,0,Q1
2023-02-25,20230225,2023,Q1,2,February,25,6,Saturday,1,Q1
2023-02-26,20230226,2023,Q1,2,February,26,7,Sunday,1,Q1
2023-02-27,20230227,2023,Q1,2,February,27,1,Monday,0,Q1
2023-02-28,20230228,2023,Q1,2,February,28,2,Tuesday,0,Q1
2023-03-01,20230301,2023,Q1,3,March,1,3,Wednesday,0,Q1
2023-03-02,20230302,2023,Q1,3,March,2,4,Thursday,0,Q1
2023-03-03,20230303,2023,Q1,3,March,3,5,Friday,0,Q1
2023-03-04,20230304,2023,Q1,3,March,4,6,Saturday,1,Q1
2023-03-05,20230305,2023,Q1,3,March,5,7,Sunday,1,Q1
2023-03-06,20230306,2023,Q1,3,March,6,1,Monday,0,Q1
2023-03-07,20230307,2023,Q1,3,March,7,2,Tuesday,0,Q1
2023-03-08,20230308,2023,Q1,3,March,8,3,Wednesday,0,Q1
2023-03-09,20230309,2023,Q1,3,March,9,4,Thursday,0,Q1
2023-03-10,20230310,2023,Q1,3,March,10,5,Friday,0,Q1
2023-03-11,20230311,2023,Q1,3,March,11,6,Saturday,1,Q1
2023-03-12,20230312,2023,Q1,3,March,12,7,Sunday,1,Q1
2023-03-13,20230313,2023,Q1,3,March,13,1,Monday,0,Q1
2023-03-14,20230314,2023,Q1,3,March,14,2,Tuesday,0,Q1
2023-03-15,20230315,2023,Q1,3,March,15,3,Wednesday,0,Q1
2023-03-16,20230316,2023,Q1,3,March,16,4,Thursday,0,Q1
2023-03-17,20230317,2023,Q1,3,March,17,5,Friday,0,Q1
2023-03-18,20230318,2023,Q1,3,March,18,6,Saturday,1,Q1
2023-03-19,20230319,2023,Q1,3,March,19,7,Sunday,1,Q1
2023-03-20,20230320,2023,Q1,3,March,20,1,Monday,0,Q1
2023-03-21,20230321,2023,Q1,3,March,21,2,Tuesday,0,Q1
2023-03-22,20230322,2023,Q1,3,March,22,3,Wednesday,0,Q1
2023-03-23,20230323,2023,Q1,3,March,23,4,Thursday,0,Q1
2023-03-24,20230324,2023,Q1,3,March,24,5,Friday,0,Q1
2023-03-25,20230325,2023,Q1,3,March,25,6,Saturday,1,Q1
2023-03-26,20230326,2023,Q1,3,March,26,7,Sunday,1,Q1
2023-03-27,20230327,2023,Q1,3,March,27,1,Monday,0,Q1
2023-03-28,20230328,2023,Q1,3,March,28,2,Tuesday,0,Q1
2023-03-29,20230329,2023,Q1,3,March,29,3,Wednesday,0,Q1
2023-03-30,20230330,2023,Q1,3,March,30,4,Thursday,0,Q1
2023-03-31,20230331,2023,Q1,3,March,31,5,Friday,0,Q1
2023-04-01,20230401,2023,Q2,4,April,1,6,Saturday,1,Q2
2023-04-02,20230402,2023,Q2,4,April,2,7,Sunday,1,Q2
2023-04-03,20230403,2023,Q2,4,April,3,1,Monday,0,Q2
2023-04-04,20230404,2023,Q2,4,April,4,2,Tuesday,0,Q2
2023-04-05,20230405,2023,Q2,4,April,5,3,Wednesday,0,Q2
2023-04-06,20230406,2023,Q2,4,April,6,4,Thursday,0,Q2
2023-04-07,20230407,2023,Q2,4,April,7,5,Friday,0,Q2
2023-04-08,20230408,2023,Q2,4,April,8,6,Saturday,1,Q2
2023-04-09,20230409,2023,Q2,4,April,9,7,Sunday,1,Q2
2023-04-10,20230410,2023,Q2,4,April,10,1,Monday,0,Q2
2023-04-11,20230411,2023,Q2,4,April,11,2,Tuesday,0,Q2
2023-04-12,20230412,2023,Q2,4,April,12,3,Wednesday,0,Q2
2023-04-13,20230413,2023,Q2,4,April,13,4,Thursday,0,Q2
2023-04-14,20230414,2023,Q2,4,April,14,5,Friday,0,Q2
2023-04-15,20230415,2023,Q2,4,April,15,6,Saturday,1,Q2
2023-04-16,20230416,2023,Q2,4,April,16,7,Sunday,1,Q2
2023-04-17,20230417,2023,Q2,4,April,17,1,Monday,0,Q2
2023-04-18,20230418,2023,Q2,4,April,18,2,Tuesday,0,Q2
2023-04-19,20230419,2023,Q2,4,April,19,3,Wednesday,0,Q2
2023-04-20,20230420,2023,Q2,4,April,20,4,Thursday,0,Q2
2023-04-21,20230421,2023,Q2,4,April,21,5,Friday,0,Q2
2023-04-22,20230422,2023,Q2,4,April,22,6,Saturday,1,Q2
2023-04-23,20230423,2023,Q2,4,April,23,7,Sunday,1,Q2
2023-04-24,20230424,2023,Q2,4,April,24,1,Monday,0,Q2
